459,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474283,NaN,Unknown (0),Infinite
460,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474278,NaN,Unknown (0),Infinite
461,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474273,NaN,Unknown (0),Infinite
462,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474268,NaN,Unknown (0),Infinite
463,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474263,NaN,Unknown (0),Infinite
464,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474258,NaN,Unknown (0),Infinite
465,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474253,NaN,Unknown (0),Infinite
466,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474248,NaN,Unknown (0),Infinite
467,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474243,NaN,Unknown (0),Infinite
468,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474238,NaN,Unknown (0),Infinite
469,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474233,NaN,Unknown (0),Infinite
470,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474228,NaN,Unknown (0),Infinite
471,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474223,NaN,Unknown (0),Infinite
472,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474218,NaN,Unknown (0),Infinite
473,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474213,NaN,Unknown (0),Infinite
474,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474208,NaN,Unknown (0),Infinite
475,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474203,NaN,Unknown (0),Infinite
476,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474198,NaN,Unknown (0),Infinite
477,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474193,NaN,Unknown (0),Infinite
478,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474188,NaN,Unknown (0),Infinite
479,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474183,NaN,Unknown (0),Infinite
480,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474178,NaN,Unknown (0),Infinite
481,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474173,NaN,Unknown (0),Infinite
482,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474168,NaN,Unknown (0),Infinite
483,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474163,NaN,Unknown (0),Infinite
484,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474158,NaN,Unknown (0),Infinite
485,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474153,NaN,Unknown (0),Infinite
486,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474148,NaN,Unknown (0),Infinite
487,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474143,NaN,Unknown (0),Infinite
488,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474138,NaN,Unknown (0),Infinite
489,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474133,NaN,Unknown (0),Infinite
490,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474128,NaN,Unknown (0),Infinite
491,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474123,NaN,Unknown (0),Infinite
492,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474118,NaN,Unknown (0),Infinite
493,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474113,NaN,Unknown (0),Infinite
494,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474108,NaN,Unknown (0),Infinite
495,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474103,NaN,Unknown (0),Infinite
496,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474098,NaN,Unknown (0),Infinite
497,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474093,NaN,Unknown (0),Infinite
498,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474088,NaN,Unknown (0),Infinite
499,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474083,NaN,Unknown (0),Infinite
500,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474078,NaN,Unknown (0),Infinite
501,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474073,NaN,Unknown (0),Infinite
502,[2024.11.05-16.47.31:573][238][2024-11-05 17:47:31] BP_ResourceNode_C_2147474068,NaN,Unknown (0),Infinite
